State,ten,eleven,twelve,thirteen,fourteen,fifteen
Alabama,11.8,11.8,12.1,12.7,15.2,15.7
Alaska,11.6,14.2,17.4,14.4,16.8,16
Arizona,17.5,16.9,17.7,18.7,18.2,19
Arkansas,12.5,12.6,13.1,11.1,12.6,13.8
California,10.6,10.7,10.3,11.1,11.1,11.3
Colorado,12.7,16.1,15,15.5,16.3,15.4
Connecticut,10.1,11.2,12.1,16,17.6,22.1
Delaware,16.6,17.6,15.2,18.7,20.9,22
District of Columbia,12.9,13.5,12.6,15,14.2,18.6
Florida,16.4,15.4,13.3,12.6,13.2,16.2
Georgia,10.7,10.7,10.6,10.8,11.9,12.7
Hawaii,10.9,12.4,11,11,10.9,11.3
Idaho,11.8,12.9,11.9,13.4,13.7,14.2
Illinois,10,10.9,12.5,12.1,13.1,14.1
Indiana,14.4,15.3,16,16.6,18.2,19.5
Iowa,8.6,8.4,8.7,9.3,8.8,10.3
Kansas,9.6,10.1,11.5,12,11.7,11.8
Kentucky,23.6,25,25,23.7,24.7,29.9
Louisiana,13.2,13.5,12.3,17.8,16.9,19
Maine,10.4,11.8,11.5,13.2,16.8,21.2
Maryland,11,11.7,13.7,14.6,17.4,20.9
Massachusetts,11,12.7,12.7,16,19,25.7
Michigan,13.9,14.3,13.5,15.9,18,20.4
Minnesota,7.3,9.4,8.9,9.6,9.6,10.6
Mississippi,11.4,10.7,10.7,10.8,11.6,12.3
Missouri,17,16.4,16.2,17.5,18.2,17.9
Montana,12.9,14.4,11.9,14.5,12.4,13.8
Nebraska,6.7,7.1,7.9,6.5,7.2,6.9
Nevada,20.7,22.8,21,21.1,18.4,20.4
New Hampshire,11.8,15.3,13.4,15.1,26.2,34.3
New Jersey,9.8,11.3,13.7,14.5,14,16.3
New Mexico,23.8,26.3,24.7,22.6,27.3,25.3
New York,7.8,9.7,10.4,11.3,11.3,13.6
North Carolina,11.4,13,13.3,12.9,13.8,15.8
North Dakota,3.4,0,3.1,2.8,6.3,8.6
Ohio,16.1,17.7,18.9,20.8,24.6,29.9
Oklahoma,19.4,18.9,20.6,20.6,20.3,19
Oregon,12.9,13.5,12.5,11.3,12.8,12
Pennsylvania,15.3,18.3,19,19.4,21.9,26.3
Rhode Island,15.5,17.7,18.2,22.4,23.4,28.2
South Carolina,14.6,13.3,12.5,13,14.4,15.7
South Dakota,6.3,7.1,5.5,6.9,7.8,8.4
Tennessee,16.9,17.2,17.6,18.1,19.5,22.2
Texas,9.6,10.1,9.4,9.3,9.7,9.4
Utah,16.9,19.5,23.1,22.1,22.4,23.4
Vermont,9.7,12.9,10.9,15.1,13.9,16.7
Virginia,6.8,9.7,8.9,10.2,11.7,12.4
Washington,13.1,14.1,13.7,13.4,13.3,14.7
West Virginia,28.9,36.3,32,32.2,35.5,41.5
Wisconsin,10.9,12.1,12.2,15,15.1,15.5
Wyoming,15,15.2,16.8,17.2,19.4,16.4
